,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Table 1: Five main citizenships of (non-EU) asylum applicants, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(number of first time applicants, rounded figures)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,,,Bulgaria,,,Czech Republic,,,Denmark,,,,,,,,,,,,,,,,,,,,,
,,Syria,"2,625 ",,Afghanistan,"1,050 ",,Ukraine,295 ,,Syria,765 ,,,,,,,,,,,,,,,,,,,,
,,Afghanistan,995 ,,Iraq,955 ,,Azerbaijan,120 ,,Morocco,300 ,,,,,,,,,,,,,,,,,,,,
,,Palestine,815 ,,Syria,940 ,,Armenia,115 ,,Eritrea,295 ,,,,,,,,,,,,,,,,,,,,
,,Guinea,750 ,,Pakistan,205 ,,Georgia,110 ,,Afghanistan,170 ,,,,,,,,,,,,,,,,,,,,
,,Albania,670 ,,Iran,75 ,,Syria,70 ,,Iran,145 ,,,,,,,,,,,,,,,,,,,,
,,Other,"8,180 ",,Other,245 ,,Other,430 ,,Other,"1,450 ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Germany,,,Estonia (¹),,,Ireland,,,Greece,,,,,,,,,,,,,,,,,,,,,
,,Syria,"48,970 ",,Syria,80 ,,Syria,545 ,,Syria,"16,345 ",,,,,,,,,,,,,,,,,,,,
,,Iraq,"21,930 ",,Russia,15 ,,Georgia,300 ,,Pakistan,"8,350 ",,,,,,,,,,,,,,,,,,,,
,,Afghanistan,"16,425 ",,Georgia,10 ,,Albania,280 ,,Iraq,"7,875 ",,,,,,,,,,,,,,,,,,,,
,,Eritrea,"10,225 ",,Ukraine,10 ,,Pakistan,195 ,,Afghanistan,"7,485 ",,,,,,,,,,,,,,,,,,,,
,,Iran,"8,610 ",,Iraq,5 ,,Nigeria,185 ,,Albania,"2,345 ",,,,,,,,,,,,,,,,,,,,
,,Other,"92,095 ",,Other,60 ,,Other,"1,405 ",,Other,"14,620 ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Spain,,,France,,,Croatia,,,Italy,,,,,,,,,,,,,,,,,,,,,
,,Venezuela,"10,325 ",,Albania,"11,395 ",,Afghanistan,180 ,,Nigeria,"24,950 ",,,,,,,,,,,,,,,,,,,,
,,Syria,"4,150 ",,Afghanistan,"6,555 ",,Syria,140 ,,Bangladesh,"12,125 ",,,,,,,,,,,,,,,,,,,,
,,Colombia,"2,410 ",,Haiti,"5,565 ",,Pakistan,115 ,,Pakistan,"9,470 ",,,,,,,,,,,,,,,,,,,,
,,Ukraine,"2,185 ",,Sudan,"4,665 ",,Algeria,70 ,,Gambia,"8,705 ",,,,,,,,,,,,,,,,,,,,
,,Algeria,"1,140 ",,Syria,"4,615 ",,Iran,60 ,,Ivory Coast,"8,380 ",,,,,,,,,,,,,,,,,,,,
,,Other,"10,235 ",,Other,"58,275 ",,Other,315 ,,Other,"62,920 ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cyprus,,,Latvia,,,Lithuania,,,Luxembourg,,,,,,,,,,,,,,,,,,,,,
,,Syria,"1,770 ",,Syria,140 ,,Syria,170 ,,Syria,405 ,,,,,,,,,,,,,,,,,,,,
,,India,435 ,,Russia,25 ,,Russia,80 ,,Eritrea,230 ,,,,,,,,,,,,,,,,,,,,
,,Vietnam,350 ,,Eritrea,20 ,,Tajikistan,50 ,,Morocco,205 ,,,,,,,,,,,,,,,,,,,,
,,Bangladesh,280 ,,Afghanistan,15 ,,Belarus,35 ,,Serbia,185 ,,,,,,,,,,,,,,,,,,,,
,,Egypt,270 ,,Kazakhstan,15 ,,Ukraine,35 ,,Algeria,160 ,,,,,,,,,,,,,,,,,,,,
,,Other,"1,370 ",,Other,140 ,,Other,150 ,,Other,"1,135 ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hungary,,,Malta,,,Netherlands,,,Austria,,,,,,,,,,,,,,,,,,,,,
,,Afghanistan,"1,365 ",,Syria,435 ,,Syria,"2,965 ",,Syria,"7,260 ",,,,,,,,,,,,,,,,,,,,
,,Iraq,795 ,,Libya,410 ,,Eritrea,"1,590 ",,Afghanistan,"3,430 ",,,,,,,,,,,,,,,,,,,,
,,Syria,565 ,,Somalia,330 ,,Morocco,980 ,,Pakistan,"1,425 ",,,,,,,,,,,,,,,,,,,,
,,Pakistan,100 ,,Eritrea,90 ,,Algeria,890 ,,Iraq,"1,330 ",,,,,,,,,,,,,,,,,,,,
,,Iran,95 ,,Iraq,55 ,,Iraq,845 ,,Nigeria,"1,130 ",,,,,,,,,,,,,,,,,,,,
,,Other,195 ,,Other,290 ,,Other,"8,820 ",,Other,"7,585 ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Poland,,,Portugal,,,Romania,,,Slovenia,,,,,,,,,,,,,,,,,,,,,
,,Russia,"2,120 ",,DR Congo,160 ,,Iraq,"2,690 ",,Afghanistan,575 ,,,,,,,,,,,,,,,,,,,,
,,Tajikistan,85 ,,Ukraine,125 ,,Syria,920 ,,Algeria,190 ,,,,,,,,,,,,,,,,,,,,
,,Armenia,65 ,,Angola,120 ,,Afghanistan,255 ,,Pakistan,140 ,,,,,,,,,,,,,,,,,,,,
,,Turkey,45 ,,Congo,55 ,,Pakistan,245 ,,Turkey,100 ,,,,,,,,,,,,,,,,,,,,
,,Iraq,40 ,,Guinea,45 ,,Iran,200 ,,Syria,90 ,,,,,,,,,,,,,,,,,,,,
,,Other,650 ,,Other,510 ,,Other,390 ,,Other,340 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Slovakia (2),,,Finland,,,Sweden,,,United Kingdom,,,,,,,,,,,,,,,,,,,,,
,,Afghanistan,25 ,,Iraq,"1,000 ",,Syria,"5,250 ",,Iraq,"3,260 ",,,,,,,,,,,,,,,,,,,,
,,Vietnam,20 ,,Syria,740 ,,Eritrea,"1,540 ",,Pakistan,"3,125 ",,,,,,,,,,,,,,,,,,,,
,,Cuba,10 ,,Eritrea,435 ,,Iraq,"1,475 ",,Iran,"3,050 ",,,,,,,,,,,,,,,,,,,,
,,Iraq,10 ,,Russia,395 ,,Afghanistan,"1,245 ",,Bangladesh,"1,980 ",,,,,,,,,,,,,,,,,,,,
,,Pakistan,10 ,,Afghanistan,305 ,,Georgia,"1,005 ",,Afghanistan,"1,915 ",,,,,,,,,,,,,,,,,,,,
,,Other,75 ,,Other,"1,450 ",,Other,"11,675 ",,Other,"19,980 ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Iceland,,,Liechtenstein (³),,,Norway,,,Switzerland,,,,,,,,,,,,,,,,,,,,,
,,Georgia,290 ,,:,:,,Syria,"1,000 ",,Eritrea,"3,155 ",,,,,,,,,,,,,,,,,,,,
,,Albania,255 ,,:,:,,Eritrea,840 ,,Syria,"1,810 ",,,,,,,,,,,,,,,,,,,,
,,Iraq,110 ,,:,:,,Turkey,160 ,,Afghanistan,"1,180 ",,,,,,,,,,,,,,,,,,,,
,,FYR of Macedonia,50 ,,:,:,,Iraq,140 ,,Somalia,795 ,,,,,,,,,,,,,,,,,,,,
,,Pakistan,35 ,,:,:,,Afghanistan,135 ,,Guinea,785 ,,,,,,,,,,,,,,,,,,,,
,,Other,325 ,,:,:,,Other,"1,075 ",,Other,"8,890 ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(¹) Afghanista, Iran, Albania, Egypt, Sri Lanka, Belarus, Venezuela, Cuba: also 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(²) Syria: also 10.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(³) data not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source: Eurostat (online data code: migr_asyappctza),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookmark:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-057066_QID_34291650_UID_-3F171EB0&layout=TIME,C,X,0;GEO,L,Y,0;CITIZEN,L,Y,1;ASYL_APP,L,Z,0;SEX,L,Z,1;AGE,L,Z,2;UNIT,L,Z,3;INDICATORS,C,Z,4;&zSelection=DS-057066SEX,T;DS-057066AGE,TOTAL;DS-057066UNIT,PER;DS-057066ASYL_APP,NASY_APP;DS-057066INDICATORS,OBS_FLAG;&rankName1=UNIT_1_2_-1_2&rankName2=AGE_1_2_-1_2&rankName3=INDICATORS_1_2_-1_2&rankName4=ASYL-APP_1_2_-1_2&rankName5=SEX_1_2_-1_2&rankName6=TIME_1_0_0_0&rankName7=GEO_1_2_0_1&rankName8=CITIZEN_1_0_1_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,